nombre,tipo,precio,barrio,lat,long
GastroVía 61,restaurante,Medio,No encontrado,,
Massa Pizza,restaurante,Medio,Gaztambide,40.4351596,-3.7108818
Yatai Market,restaurante,Medio,Embajadores,40.41308265,-3.703991681218869
La Piperna,restaurante,Medio,Castillejos,40.4638524,-3.6928837
MICASITA BUVETTE,restaurante,Medio,Pacífico,40.40501875,-3.681200689936439
Trattoria La Tavernetta,restaurante,Medio,Justicia,40.4261186,-3.6941121
Burmet,restaurante,Medio,No encontrado,,
Poké Friendly,restaurante,Medio,No encontrado,,
Nacho Bravo,restaurante,Bajo,Chopera,40.3920567,-3.69463904509838
Restaurante La Gaditana,restaurante,Medio,No encontrado,,
Queen Burger Gourmet,restaurante,Medio,No encontrado,,
Santita Fuencarral,restaurante,Medio,No encontrado,,
Yakitoro Castellana,restaurante,Medio,Cuatro Caminos,40.4501985,-3.6901909
La Capricciosa Italiana,restaurante,Bajo,Embajadores,40.4110151,-3.707641545906433
Restaurante Luxury,restaurante,Medio,Universidad,40.4302666,-3.704908
Lafayette,restaurante,Medio,No encontrado,,
La Tabarra Madrid,restaurante,Medio,Gaztambide,40.4358894,-3.7129806
Bar Selva,restaurante,Bajo,No encontrado,,
Impasta,restaurante,Medio,No encontrado,,
Viva Chapata,restaurante,Medio,Embajadores,40.4094543,-3.7009105
El Cocodrilo,restaurante,Medio,No encontrado,,
Passaparola L´Originale,restaurante,Medio,Aguilas,40.3878815,-3.7660957
L' Incanto Gastrobar,restaurante,Medio,Guindalera,40.4340666,-3.6710249
Pasta Mito,restaurante,Medio,Hispanoamérica,40.4575854,-3.6784512
Taberna el Sur,restaurante,Medio,No encontrado,,
Propaganda,restaurante,Medio,No encontrado,,
Pituca Lounge,restaurante,Medio,Casa de Campo,40.4265242,-3.7190804
Divina Dolores,restaurante,Medio,No encontrado,,
Puccias | Sandwichería Delicatessen,restaurante,Medio,Justicia,40.4207109,-3.6974311
Lamucca de Prado,restaurante,Medio,Cortes,40.4146932,-3.698712851549911
El Rincon del Cabo,restaurante,Medio,Embajadores,40.4116527,-3.7030479
Sublime Dreams Food,restaurante,Medio,No encontrado,40.33970455,-3.8476277532704177
WelkhomeClub,restaurante,Bajo,No encontrado,,
niMÚ Barquillo,restaurante,Medio,No encontrado,,
Mesón Molinero,restaurante,Medio,Lucero,40.3972995,-3.7441719
Bahía Taberna,restaurante,Medio,No encontrado,,
Lazzarella,restaurante,Medio,No encontrado,,
López & López Pizzería,restaurante,Bajo,No encontrado,,
Steakburger Gran Vía 55,restaurante,Medio,Palacio,40.4216379,-3.7084213
Tempus Restaurante,restaurante,Medio,No encontrado,,
Gato Gato,restaurante,Medio,Embajadores,40.410177,-3.6962005
Naomi,restaurante,Medio,Cuatro Caminos,40.45256265,-3.7005787678098674
