,nombre,local,precio,enlace,año,mes,dia,hora,ubicacion,punto,barrio,lat,long
27,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692233/,2023,12,22,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
28,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692209/,2023,12,23,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
29,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692195/,2023,12,23,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
30,El Rey León,Teatro Lope de Vega,50.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692237/,2023,12,26,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
31,El Rey León,Teatro Lope de Vega,50.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692241/,2023,12,27,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
32,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692217/,2023,12,28,15:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
33,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692194/,2023,12,28,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
34,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692243/,2023,12,29,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
35,El Rey León,Teatro Lope de Vega,50.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692236/,2023,12,29,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
36,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692234/,2023,12,30,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
