,Unnamed: 0,restaurante,gastronomia,precio,opinion,reseña,ubicacion,punto,barrio,lat,long
54,54,Pizzie & Dixie,Italiana,Medio,210 opiniones,Comida sin gluten y vegana,"C. de San Vicente Ferrer, 16, 28004 Madrid",POINT (-3.702929 40.4257159),Universidad,40.4257159,-3.702929
55,55,Fiaschetteria La Saletta,Italiana,Bajo,298 opiniones,Perfecta opción de cocina italiana autentica,"C. de Sta. Isabel, 5, 2nd floor, 28012 Madrid",POINT EMPTY,No encontrado,,
56,56,Ronda 14,Japonesa,Medio,983 opiniones,Excelente cena familiar,No disponible,POINT EMPTY,No encontrado,,
57,57,Bombardino Café,Italiana,Medio,353 opiniones,Experiencia inolvodable,No disponible,POINT EMPTY,No encontrado,,
58,58,Matilda,Café y té,Bajo,760 opiniones,"Buen trato, rica comida",No disponible,POINT EMPTY,No encontrado,,
59,59,Oliveto,Italiana,Medio,380 opiniones,"Todo muy bueno, solo he echado de menos algún tipo de ensalada. Por lo demás acogedor, buen trato y muy familiar.","C. de Sta. Isabel, 45, 28012 Madrid",POINT (-3.6964775 40.4097721),Embajadores,40.4097721,-3.6964775
60,60,Etnico Madrid,Bares y pubs,Medio,141 opiniones,Excelente cocteleriaBar,No disponible,POINT EMPTY,No encontrado,,
61,61,La General Bistró & Café,Café y té,Medio,403 opiniones,BBB,"C. del Planeta, 3, 28042 Madrid",POINT (-3.7580724 40.2260137),No encontrado,40.2260137,-3.7580724
62,62,Araldo Arte del Gusto,Italiana,Medio,211 opiniones,Restaurante italiano de calidad.materia prima de primera calidad.,"C. de los Madrazo, 5, 28014 Madrid",POINT (-3.698063488576339 40.4176169),Cortes,40.4176169,-3.698063488576339
63,63,Ristorante Reginella,Italiana,Medio,681 opiniones,Masa aireada y sabrosa pizza,"Calle de Modesto Lafuente, 76, 28003 Madrid",POINT (-3.6960349 40.4414475),Rios Rosas,40.4414475,-3.6960349
64,64,Eatmytrip Brunch & Dinner Madrid,Americana,Medio,62 opiniones,También tienen cenas los fines de semana y están genial!!,No disponible,POINT EMPTY,No encontrado,,
65,65,Menomale,Italiana,Medio,204 opiniones,Maravilla,"C. de San Bernardo, 85, 28015 Madrid",POINT (-3.7063184 40.4284441),Universidad,40.4284441,-3.7063184
66,66,Casa Crimi,Italiana,Medio,32 opiniones,"Espectacular, como siempre","P.º del Marqués de Zafra, 44, 28028 Madrid",POINT (-3.662861243934684 40.425141),Fuente del Berro,40.425141,-3.662861243934684
67,67,Mamúa Café Bar. Specialty coffee,Café,Bajo,129 opiniones,FANTASTICO,"Pl. de Cascorro, 7, 28005 Madrid",POINT (-3.7071215 40.4102866),Embajadores,40.4102866,-3.7071215
68,68,Pizzart Villa Luchana,Italiana,Medio,775 opiniones,Buena vibra ✨,"C. de Luchana, 17, 28010 Madrid",POINT (-3.7007008808428026 40.430298500000006),Trafalgar,40.430298500000006,-3.7007008808428026
69,69,Dr Limon,Café,Medio,81 opiniones,Totalmente recomendable,No disponible,POINT EMPTY,No encontrado,,
70,70,Filu e Ferru,Italiana,Medio,37 opiniones,Cocina sarda en Madrid,"C. de San Joaquín, 5, 28004 Madrid",POINT (-3.7014272 40.4245501),Universidad,40.4245501,-3.7014272
71,71,Latasia,Peruana,Medio,480 opiniones,Buenísimo,"P.º de la Castellana, 115, 28046 Madrid",POINT (-3.6907533 40.4568559),Cuatro Caminos,40.4568559,-3.6907533
72,72,Sibuya Urban Sushi Bar X-Madrid,Japonesa,Medio,337 opiniones,11.6 km,"C. Oslo, 53, 28922 Alcorcón, Madrid",POINT (-3.8476277532704177 40.33970455),No encontrado,40.33970455,-3.8476277532704177
73,73,La Pizzateca,Italiana,Bajo,1150 opiniones,La mejor pizza de queso que he comido nunca.,"C. del León, 35, 28014 Madrid",POINT (-3.6992805 40.4127726),Embajadores,40.4127726,-3.6992805
74,74,Sibuya Urban Sushi Bar Madrid C/ibiza,Japonesa,Medio,724 opiniones,Delicioso,"C. de Ibiza, 33, 28009 Madrid",POINT (-3.6743147 40.4183439),Ibiza,40.4183439,-3.6743147
75,75,Inclán Brutal Bar,Bar,Medio,5570 opiniones,Un lugar diferente donde comer,"C. de Álvarez Gato, 4, 28012 Madrid",POINT (-3.7019298 40.4151014),Embajadores,40.4151014,-3.7019298
76,76,CHILA,China,Medio,88 opiniones,Buen y original restaurante chino,No disponible,POINT EMPTY,No encontrado,,
77,77,Angelita Madrid,Internacional,Medio,809 opiniones,centrico y muy buen vino y comida,"C. de la Reina, 4, 28004 Madrid",POINT (-3.7003595 40.4203614),Sol,40.4203614,-3.7003595
78,78,Divino Tinto,Mediterránea,Medio,278 opiniones,Recomendado 100%,"C. del Hierro, 4B, 28045 Madrid",POINT (-3.6921024 40.3931748),Delicias,40.3931748,-3.6921024
79,79,Pizzamascalzone,Italiana,Medio,157 opiniones,Experiencia única,"Calle de Cervantes, 1, 28014 Madrid",POINT (-3.6945481 40.414889),Cortes,40.414889,-3.6945481
80,80,BAMMBAO,China,Medio,15 opiniones,Comida china innovadora muy top,"C. de Nicolás Sánchez, 54, 28026 Madrid",POINT (-3.7058932 40.3832768),Pradolongo,40.3832768,-3.7058932
81,81,Éccolo,Italiana,Medio,133 opiniones,Gusto de sitio,No disponible,POINT EMPTY,No encontrado,,
82,82,Maximo's,Japonesa,Medio,269 opiniones,Sushi de calidad,"Av. de Menéndez Pelayo, 53, 28009 Madrid",POINT (-3.6778512 40.4162707),Jerónimos,40.4162707,-3.6778512
83,83,Taberna Más Al Sur,Mediterránea,Medio,6329 opiniones,Excelente!,"C. de Sta. Isabel, 35, 28012 Madrid",POINT (-3.6969556 40.4100214),Embajadores,40.4100214,-3.6969556
84,84,Peppe Fusco The Italian,Italiana,Medio,606 opiniones,Comida exquisita. Relación calidad/precio sobresaliente.,"Calle de Fuencarral, 139, 28010 Madrid",POINT (-3.7041275 40.4333131),Arapiles,40.4333131,-3.7041275
85,85,Metro Bistró - Plaza Mayor,Mediterránea,Medio,1882 opiniones,Precio Calidad a Tope,"C. Imperial, 3, 28012 Madrid",POINT (-3.7067441768480895 40.414546650000005),Palacio,40.414546650000005,-3.7067441768480895
86,86,Cromia,Americana,Medio,20 opiniones,Parrillada vzlana deliciosa!,"Av. de Castilla-La Mancha, 113, LOCAL, 28701 San Sebastián de los Reyes, Madrid",POINT EMPTY,No encontrado,,
87,87,Waraku,Japonesa,Medio,76 opiniones,Top Japonés,"C. de Benito Gutiérrez, 4, 28008 Madrid",POINT (-3.7180002 40.4322225),Argüelles,40.4322225,-3.7180002
88,88,Mitiko,China,Alto,96 opiniones,Delicioso,"C. de Sor Ángela de la Cruz, 22, 28020 Madrid",POINT (-3.6954038 40.4598584),Castillejos,40.4598584,-3.6954038
89,89,A vÁnvera,Italiana,Medio,444 opiniones,Trato excepcional y comida de 10,"Calle de Zurbano, 85, 28003 Madrid",POINT (-3.6928346 40.4397914),Rios Rosas,40.4397914,-3.6928346
90,90,Enklima,Mediterránea,Medio,231 opiniones,Absolutamente perfecto,No disponible,POINT EMPTY,No encontrado,,
91,91,Kaiten Sushi Madrid,Japonesa,Medio,270 opiniones,Muy buena experiencia y variedad,"C. de San Bernardo, 10, 28015 Madrid",POINT (-3.7076973 40.4219842),Palacio,40.4219842,-3.7076973
92,92,Gramabar,Americana,Medio,1656 opiniones,Riquisimoooo,No disponible,POINT EMPTY,No encontrado,,
93,93,BIZZO! Moncloa,Italiana,Bajo,169 opiniones,¡¡¡DE LOS MEJORES !!!,"C. de Andrés Mellado, 77, 28003 Madrid",POINT (-3.7141628 40.4395224),Gaztambide,40.4395224,-3.7141628
94,94,Sibuya Urban Sushi Bar Chueca,Japonesa,Medio,1014 opiniones,Excelente calidad/precio,"C. de Santo Tomé, 5, 28004 Madrid",POINT (-3.6950547 40.4236412),Justicia,40.4236412,-3.6950547
95,95,Tacoctelería,Bares y pubs,Medio,114 opiniones,Fantástico!,"C. de Valverde, 7, 28004 Madrid",POINT (-3.7022014 40.420994),Sol,40.420994,-3.7022014
96,96,Malafemmena,Italiana,Medio,1512 opiniones,Italiano con toques diferentes,"C. del Dr. Esquerdo, 13, 28028 Madrid",POINT (-3.668196522884696 40.42642025000001),Goya,40.42642025000001,-3.668196522884696
97,97,Mamma Maria,Italiana,Medio,439 opinionesCierra en 6 minutos,11 km,"C. Palomares, 1, 28911 Leganés, Madrid",POINT (-3.7648207 40.3293631),No encontrado,40.3293631,-3.7648207
98,98,La Burbujería,Mediterránea,Medio,144 opiniones,"Qué rico todo, qué amables","C. del Barco, 7, 28004 Madrid",POINT (-3.7028788 40.4213047),Sol,40.4213047,-3.7028788
99,99,El 11 Resto-Brunch,Francesa,Medio,47 opiniones,Recomendable,No disponible,POINT EMPTY,No encontrado,,
100,100,Grosso Napoletano Senza Glutine,Italiana,Medio,66 opiniones,Gran opción para celiacos,No disponible,POINT EMPTY,No encontrado,,
101,101,izakaya Han,Japonesa,Medio,469 opiniones,Siuuuuuuu,"C. de San Bartolomé, 10, 28004 Madrid",POINT (-3.6984647 40.4218369),Justicia,40.4218369,-3.6984647
102,102,Sandy Barracane,Italiana,Medio,78 opiniones,Sin palabras.,No disponible,POINT EMPTY,No encontrado,,
103,103,Mamma Maria,Italiana,Medio,439 opiniones,11 km,"C. Palomares, 1, 28911 Leganés, Madrid",POINT (-3.7648207 40.3293631),No encontrado,40.3293631,-3.7648207
104,104,Cafeteria Neila,Bar,Bajo,133 opiniones,ideal para la cervecita y el pincho,"Calle de Sta. María, 41, 28014 Madrid",POINT (-3.6958247 40.41265),Cortes,40.41265,-3.6958247
105,105,Taberna de Peñalver,Marisco,Medio,1123 opiniones,Gran servicio y comida,"C. del Conde de Peñalver, 90, 28006 Madrid",POINT (-3.6747828 40.4337774),Lista,40.4337774,-3.6747828
106,106,Santita Virgen de los Peligros,Mexicana,Medio,1086 opiniones,Fantástico postre,"C. de la Virgen de los Peligros, 10, 28013 Madrid",POINT (-3.6995762 40.418907),Sol,40.418907,-3.6995762
107,107,La Piramide,Internacional,Medio,230 opiniones,Fantástica celebración familiar,No disponible,POINT EMPTY,No encontrado,,
108,108,La Piccola Trattoria,Italiana,Medio,332 opiniones,Insuperable,"C. de la Torrecilla del Leal, 15, 28012 Madrid",POINT (-3.6994005 40.4105895),Embajadores,40.4105895,-3.6994005
109,109,Lamiak,Bar,Bajo,313 opiniones,"Genial, rico, barato y buen ambiente",No disponible,POINT EMPTY,No encontrado,,
110,110,Emma y Julia,Italiana,Medio,543 opiniones,Buen italiano en plena Cava Baja,"C. de la Cava Baja, 19, 28005 Madrid",POINT (-3.7089636 40.4125001),Palacio,40.4125001,-3.7089636
111,111,Pizzeria Fratelli,Italiana,Medio,466 opiniones,Muy buena experiencia,No disponible,POINT EMPTY,No encontrado,,
112,112,Casa Lucas,Mediterránea,Medio,1381 opiniones,"Excelente, un clásico",No disponible,POINT EMPTY,No encontrado,,
113,113,MACAO Príncipe,Japonesa,Medio,376 opiniones,Platos diferentes.,"C. del Príncipe, 16, 28012 Madrid",POINT (-3.7003953 40.4154674),Cortes,40.4154674,-3.7003953
114,114,Vinos de Bellota,Mediterránea,Medio,884 opiniones,Siempre es un acierto,"C. de Antonio Acuña, 27, 28009 Madrid",POINT (-3.678872020735685 40.42075165),Jerónimos,40.42075165,-3.678872020735685
115,115,Maruzzella,Italiana,Medio,1022 opiniones,Comida 100% italiana,"C. de Raimundo Fernández Villaverde, 28, 28003 Madrid",POINT (-3.6995503594813393 40.44604875),Rios Rosas,40.44604875,-3.6995503594813393
116,116,Cervecería El Caño,Bar,Bajo,269 opiniones,Cada vez que vengo a Madrid repito,"C. de Cobos de Segovia, 30, 28005 Madrid",POINT (-3.7191486 40.4060379),Imperial,40.4060379,-3.7191486
117,117,Acqua In Bocca Trattoria,Italiana,Medio,90 opiniones,Italiano increíble. Excelente elección,"C. de Arias Montano, 30, 28007 Madrid",POINT (-3.6705178 40.4097349),Niño Jesús,40.4097349,-3.6705178
118,118,Sto Globo Sushi Room,Japonesa,Medio,346 opinionesCierra en 2 minutos,Siguen siendo los mejores,"Calle de Sta. Teresa, 8, 28004 Madrid",POINT (-3.6959139 40.4257801),Justicia,40.4257801,-3.6959139
119,119,Sazón-arte,Mediterránea,Medio,313 opiniones,Estupenda cena de tapeo,"C. de Menorca, 19, local izquierdo bajo g, 28009 Madrid",POINT EMPTY,No encontrado,,
120,120,Sr. Ito,Japonesa,Medio,975 opiniones,Sabor y atención excelente,No disponible,POINT EMPTY,No encontrado,,
121,121,Rioko Nikkei Sushi Bar,Japonesa,Medio,67 opiniones,Un restaurante especial y acogedor,"Carrer de Ciscar, 49, bajo, 46005 Valencia",POINT EMPTY,No encontrado,,
122,122,Cruda Restaurante,Mexicana,Medio,533 opiniones,Estupendo,No disponible,POINT EMPTY,No encontrado,,
123,123,Trattoria Pizzeria A'Fenestella,Italiana,Medio,265 opiniones,Se solucionó el malentendido,"C. de Torquemada, 25, 28043 Madrid",POINT (-3.6384778 40.4684417),Canillas,40.4684417,-3.6384778
124,124,Restaurante Gaudium Chamberí,Mediterránea,Medio,175 opiniones,Original y clásico,"C. de Sta. Feliciana, 14, 28010 Madrid",POINT (-3.6990576 40.4331934),Trafalgar,40.4331934,-3.6990576
125,125,Isabella Restaurante,Italiana,Medio,51 opiniones,Muy agradable a la vista y paladar,"C. de Puigcerda, 4, 28001 Madrid",POINT (-3.6863008 40.4238727),Recoletos,40.4238727,-3.6863008
126,126,I Malavoglia,Italiana,Medio,52 opiniones,Sitio tranquilo. Buenas pizzas,No disponible,POINT EMPTY,No encontrado,,
