restaurante,ubicacion,Lat&Lon
Steakburger Gran Vía 55,"C.Gran Vía, 55, 28013 Madrid","(40.4216379, -3.7084213)"
Tempus Restaurante,None,"(44.933143, 7.540121)"
Gato Gato,"C. del Marqués de Toca, 6, 28012 Madrid","(40.410177, -3.6962005)"
Naomi,"C. de Ávila, 14, 28020 Madrid","(40.452562650000004, -3.7005787678098674)"
Restaurante La Malontina,"C. de la Verónica, 4, 28014 Madrid","(40.411756749999995, -3.6954293222344576)"
Restaurante Étimo by Begoña Fraire,None,"(44.933143, 7.540121)"
Caro Club,None,"(44.933143, 7.540121)"
Sushi Tokami,"Calle de Modesto Lafuente, 88, 28003 Madrid","(40.4458894, -3.6955555)"
Quispe Madrid,"C. del Conde de Aranda, 4, 28001 Madrid","(40.4217288, -3.6879591)"
NAP Lavapies,"C. del Ave María, 19, 28012 Madrid","(40.4109231, -3.7004684)"
Mercado de San Ildefonso,"Calle de Fuencarral, 57, 28004 Madrid","(40.42415565, -3.700857418597951)"
Bresca,None,"(44.933143, 7.540121)"
Trattoria da Alfredo,"C. de El Españoleto, 4, 28010 Madrid",
Piccolina,None,"(44.933143, 7.540121)"
Los Grifos,None,"(44.933143, 7.540121)"
El Horno Azul,"C. de Leganitos, 14, 28013 Madrid","(40.4216345, -3.7100146)"
The Spanish Farm,"C. de Espalter, 5, 28014 Madrid",
Dolores y Lola,"Calle de Monteleón, 17, 28004 Madrid","(40.4290217, -3.7048621)"
Trattoria Popolare Fratelli Figurato,"Calle de Larra, 13, 28004 Madrid","(40.4274131, -3.7000906)"
Aboca Restobar,"C. de Tampico, 34, 28027 Madrid","(40.4397477, -3.6322141)"
Brew Wild Pizza Bar,"Calle de Echegaray, 23, 28014 Madrid","(40.4147419, -3.6995268)"
Palki Indian Restaurant,"C. de Ferraz, 54, 28008 Madrid","(40.4276743, -3.7186385)"
Ponja Nikkei,"Calle del Almirante, 20, 28004 Madrid","(40.4224372, -3.6934129)"
El miniBAR,"C/ del Mesón de Paños, 1, 28013 Madrid","(40.4162893, -3.7091977)"
Murillo Café - Restaurante,"C. de Ruiz de Alarcón, 27, 28014 Madrid","(40.413041, -3.6913164)"
Mano De Santa,"Calle del General Díaz Porlier, 95, 28006 Madrid","(40.4340894, -3.6765661)"
La Taberna de Mister Pinkleton,"Pl. de San Miguel, s/n, 28005 Madrid",
Il Boccone,"C. de Juan de Mariana, 4, 28045 Madrid","(40.3989517, -3.6869451)"
Grosso Napoletano,None,"(44.933143, 7.540121)"
Dog & Fox Urban Kitchen,None,"(44.933143, 7.540121)"
La Taberna De Moncloa,"C. de Andrés Mellado, 45, 28015 Madrid","(40.4351912, -3.7144425)"
La Sifonería,"C. de Martín de los Heros, 27, 28008 Madrid","(40.4256682, -3.7147338)"
O`pulpo,"Calle de los Cañizares, 8, 28012 Madrid","(40.41281225, -3.7018683059565936)"
Gandarío,None,"(44.933143, 7.540121)"
Celicioso by Only YOU Hotels,"C. del Barquillo, 19, 28004 Madrid","(40.4220636, -3.6956952)"
Restaurante El Abuelito,None,"(44.933143, 7.540121)"
Totò E Peppino,None,"(44.933143, 7.540121)"
Los Porfiados,"C. de Buenavista, 18, 28012 Madrid","(40.4101148, -3.6989646)"
Jauja Café,"C. de la Encomienda, 22, 28012 Madrid","(40.410586, -3.7062889)"
Tsukuri Soba,"C. de Andrés Mellado, 5, 28015 Madrid","(40.4310638, -3.7146995)"
Manzoni Trattoria,"C. de Rosario Pino, 6, 28020 Madrid","(40.4621959, -3.6911748)"
Asador Nuevo Porche,"C. Alaró, 5, 28042 Madrid","(40.4713093, -3.5825308)"
Il Cratere del Gusto,"C. del Marqués de Urquijo, 27, 28008 Madrid","(40.4295758, -3.7191152)"
Restaurante Justo a tu Gusto,"Av. de la Ermita, 2, 28100 Alcobendas, Madrid","(40.5355406, -3.6369201)"
Asian Army,"Calle de Santa Isabel, 5 Dentro Mercado Anton Martin Planta Baja, puesto 7-11, 28012 Madrid",
Almalibre Açaí House Madrid,"C. de la Libertad, 17, 28004 Madrid","(40.4211249, -3.6974103)"
Sr. Ito Lab,"C. de Trafalgar, 7, local 2, 28010 Madrid",
Mafrens Healthy Food,"Pl. de Cascorro, 12, 28005 Madrid","(40.4099472, -3.7074617)"
Cervecería La Mayor,"C. Mayor, 77, 28013 Madrid","(40.415035450000005, -3.712047951670306)"
Trinakria,"C. de López de Hoyos, 182, 28002 Madrid","(40.4476193, -3.668826)"
Queen Burger las Tablas,"C. de Castiello de Jaca, 14, 28050 Madrid","(40.5093876, -3.6783414)"
Don Giovanni,"Paseo de la R. Cristina, 23, posterior, 28014 Madrid",
Osteria Bravissimo,"P.º del Pintor Rosales, 52, 28008 Madrid","(40.4294078, -3.721906)"
La Pulpería De Victoria,"Junto a, Calle de La Victoria, Prta del Sol, 2, 28012 Madrid",
DokiDOki,"C/ de Villalar, 4, 28001 Madrid","(40.4210879, -3.6898191)"
Alcaravea,None,"(44.933143, 7.540121)"
Lamucca de Almagro,"C. de Almagro, 3, 28010 Madrid","(40.4283158, -3.6952621)"
Matador,None,"(44.933143, 7.540121)"
La Bajada Street Food,None,"(44.933143, 7.540121)"
Pomodoro e Basilico,"C. San Anastasio, 4, 28005 Madrid","(40.3972382, -3.7033722)"
Gagos pizza,None,"(44.933143, 7.540121)"
Larepera,"Pl. Mosén Rubí, 5, 05001 Ávila","(40.6573029, -4.6998653)"
Artemisa Sol-Gran Via,"C. de las Tres Cruces, 4, 28013 Madrid","(40.419207, -3.7029076)"
FORNERIA BALLARO,"Calle de Sta Engracia, 90, 28010 Madrid","(40.437811, -3.6998016)"
Restaurante Chulla Ville,"C. de Longares, 34, 28022 Madrid","(40.4317775, -3.6095751)"
Noi Due Ristorante Pizzeria,"C. de Vallehermoso, 59, 28015 Madrid","(40.4368161, -3.7085659)"
Asador Avelino,"C. de Joaquín Turina, 42, 28044 Madrid","(40.3721524, -3.7551029)"
La Carbonera,None,"(44.933143, 7.540121)"
Casa Benigna,"C. de Benigno Soto, 9, 28002 Madrid","(40.4480719, -3.6743241)"
Trattoria Adriana,"Calle de Dagua, 12 Calle Zapatoca esq, C. de Zipaquirá, 28033 Madrid",
Pez Tortilla,None,"(44.933143, 7.540121)"
Wok Garden Parrilla,"Av. de Europa, 2, 28922 Alcorcón, Madrid","(40.3501987, -3.8474245)"
Mu! El Placer De La Carne,None,"(44.933143, 7.540121)"
Hot Now,"C. de Barbieri, 14, 28004 Madrid","(40.4213703, -3.6979947)"
Mercado de San Miguel,"Pl. de San Miguel, s/n, 28005 Madrid",
La Bella Anna,"Av. del Monasterio de Silos, 25, 28049 Madrid","(40.5037656, -3.7109163)"
Restaurante Marina Ventura,"C. de Ventura de la Vega, 13, 28014 Madrid","(40.4153709, -3.6989014)"
desengaño13,"C. del Desengaño, 13, 28004 Madrid","(40.4210185, -3.7043409)"
Los Montes de Galicia,"C. de Azcona, 46, 28028 Madrid",
GO!Sushing Getafe,"P.º de La Estación, 13, Portal E, 28904 Madrid",
Casa Jaguar Madrid,None,"(44.933143, 7.540121)"
Aura Cafe,None,"(44.933143, 7.540121)"
Le Coq Atocha,"C. de Atocha, 43, 28012 Madrid","(40.4133316, -3.7010547)"
Cafeteria HD,"C. de Guzmán el Bueno, 67, 28015 Madrid","(40.4360368, -3.7132048)"
Casa Macareno,"C. de San Vicente Ferrer, 44, 28004 Madrid","(40.4258981, -3.7048334)"
Oter Epicure,"C. de Claudio Coello, 71, 28001 Madrid","(40.4224667, -3.686977)"
Xiaolongkan Hot Pot,"C. Maestro Arbós, 3, 28045 Legazpi, Madrid","(40.3903916, -3.6948041)"
Panaria,None,"(44.933143, 7.540121)"
MY Pasta Room,"C. del Espíritu Santo, 16, 28004 Madrid","(40.4253956, -3.703005727508269)"
Pizzeria Fratelli Figurato,"C. de Alonso Cano, 37, 28003 Madrid","(40.4389491, -3.6978327)"
Everest Curry House,"Pl. Tres Olivos, 1, 28034 Madrid","(40.500384, -3.6904552)"
Da Nicola Gran Vía,"Pl. de los Mostenses, 11, LOCAL, 28015 Madrid",
That's Amore,"C. de Pelayo, 6, 28004 Madrid","(40.4220213, -3.6989735)"
Alduccio,"Av. de Concha Espina, 8, 28036 Madrid","(40.4518121, -3.6881503)"
Restaurante La Vanduca,"C. de Columela, 2, 28001 Madrid","(40.4210631, -3.6881291)"
Pans & Company,None,"(44.933143, 7.540121)"
Trattoria In Crescendo,"C. de Jaime el Conquistador, 31, 28045 Madrid","(40.39472105, -3.6981316481717554)"
